metric_date,open,high,low,close,volume,market_cap
2014-04-05,446.67,463.57,444.2,461.91,13404500.0,5824866675.82
2014-04-06,463.4,466.32,452.97,460.5,10241400.0,5808861023.23
2014-04-07,461.47,462.56,445.12,449.42,15616600.0,5670830649.57
2014-04-08,447.61,457.42,446.11,453.09,10921600.0,5718579640.4
2014-04-09,453.18,455.73,441.93,442.73,13204400.0,5589580215.0
2014-04-10,442.26,443.37,358.73,365.18,55868300.0,4611917256.8
2014-04-11,363.71,429.77,351.27,420.95,62562800.0,5318033924.5
2014-04-12,420.89,439.61,415.79,421.12,19226500.0,5321874505.8
2014-04-13,421.46,427.4,395.25,414.06,22493500.0,5234667258.6
2014-04-14,414.83,469.75,407.37,458.79,50730200.0,5802302128.35
2014-04-15,458.37,519.0,453.54,515.59,49561000.0,6522974947.95
2014-04-16,522.18,542.38,502.78,527.4,56480100.0,6674473792.25
2014-04-17,529.07,533.52,484.87,495.96,34025500.0,6278792387.4
2014-04-18,495.8,498.6,472.74,479.64,19042400.0,6074116359.88
2014-04-19,479.58,503.55,470.56,501.57,19588200.0,6353700028.75
2014-04-20,501.75,510.87,490.84,498.17,12103100.0,6312896983.8
2014-04-21,497.74,510.57,493.2,495.77,15171400.0,6284666434.5
2014-04-22,495.45,503.22,487.58,487.92,11670900.0,6187034895.3
2014-04-23,488.36,493.25,485.82,491.3,9814530.0,6231920620.93
2014-04-24,490.83,500.46,482.95,500.46,13009400.0,6350012524.62
2014-04-25,500.09,500.3,442.95,461.45,46856500.0,5857079867.2
2014-04-26,461.7,464.54,449.1,458.6,12214600.0,5822776641.82
2014-04-27,457.24,459.33,436.39,436.39,10949500.0,5542720307.0
2014-04-28,430.72,447.53,422.94,440.29,23876600.0,5593864953.5
2014-04-29,439.98,451.64,435.18,447.21,16401400.0,5683724523.93
2014-04-30,446.89,451.1,436.7,447.64,15244900.0,5690810164.88
2014-05-01,447.63,460.61,447.63,457.76,12871800.0,5821425472.0
2014-05-02,457.36,457.93,443.4,449.38,10394200.0,5716625926.82
2014-05-03,449.4,449.4,430.68,437.76,9849640.0,5570422953.55
2014-05-04,438.52,439.77,430.05,436.4,5621260.0,5554777405.65
2014-05-05,434.78,440.97,427.62,433.48,10004800.0,5518951942.35
2014-05-06,433.36,448.04,423.25,428.96,12507300.0,5463474513.0
2014-05-07,429.34,446.13,428.45,438.82,18332200.0,5590798950.5
2014-05-08,438.68,448.4,438.14,440.17,9446580.0,5609810850.07
2014-05-09,440.18,452.69,440.14,449.46,10347900.0,5730133342.9
2014-05-10,450.46,455.77,448.47,454.43,6682600.0,5795543100.55
2014-05-11,453.92,455.34,433.4,438.89,12251700.0,5598956479.2
2014-05-12,438.3,442.26,434.23,441.46,7383770.0,5633629020.6
2014-05-13,441.53,441.98,436.97,440.67,7682670.0,5625308533.07
2014-05-14,440.59,446.66,440.5,443.97,9472960.0,5669111765.9
2014-05-15,444.14,449.8,443.63,447.25,7362980.0,5712906334.2
2014-05-16,447.39,450.66,444.96,448.06,6475100.0,5725217915.3
2014-05-17,448.12,451.98,447.3,448.9,2945790.0,5737967926.6
2014-05-18,448.7,449.77,444.78,446.26,2857830.0,5706165792.6
2014-05-19,446.08,447.55,443.1,446.18,6242620.0,5706978471.22
2014-05-20,446.3,491.44,446.01,485.72,40327500.0,6214911438.6
2014-05-21,485.8,494.37,483.49,491.77,14626000.0,6294422409.25
2014-05-22,492.05,525.36,490.19,524.58,33086500.0,6716604600.2
2014-05-23,525.72,541.96,520.08,520.22,34934700.0,6662964359.35
2014-05-24,521.05,525.17,516.28,525.14,11499300.0,6727963028.4
2014-05-25,525.23,576.48,525.23,571.59,47010300.0,7325371780.1
2014-05-26,571.39,588.39,565.33,583.42,29959800.0,7479335238.4
2014-05-27,582.59,589.52,554.43,571.24,38032000.0,7325147498.6
2014-05-28,571.91,578.62,564.09,577.06,19289000.0,7402205098.8
2014-05-29,576.33,577.1,561.6,568.18,18707800.0,7290260762.0
2014-05-30,568.18,618.46,568.16,615.33,31985400.0,7897757907.5
2014-05-31,615.69,624.72,604.47,623.68,15107100.0,8007248675.68
2014-06-01,623.69,671.51,619.91,630.23,45259100.0,8094125581.35
2014-06-02,629.65,665.5,618.74,660.62,45450200.0,8487587033.1
2014-06-03,660.55,674.11,650.78,667.6,40653700.0,8580309811.88
2014-06-04,666.77,668.56,624.09,641.61,37731500.0,8249183076.95
2014-06-05,641.07,663.53,640.09,659.26,29621300.0,8478552323.5
2014-06-06,659.28,661.37,652.3,653.7,18680100.0,8409353268.4
2014-06-07,653.52,656.94,644.91,654.97,15855300.0,8428206588.9
2014-06-08,654.99,658.88,653.47,656.14,8614190.0,8445489606.5
2014-06-09,655.64,657.7,644.39,649.16,19065400.0,8358149330.65
2014-06-10,650.04,659.61,646.56,653.15,17913400.0,8412294411.25
2014-06-11,653.19,657.04,632.55,633.02,25163800.0,8155307438.5
2014-06-12,633.43,638.11,573.27,586.95,50818800.0,7564343900.0
2014-06-13,585.7,615.14,585.7,600.16,35700700.0,7737046326.73
2014-06-14,600.75,601.27,549.82,577.36,38481200.0,7445594334.05
2014-06-15,575.93,592.94,554.89,592.94,23580900.0,7649361649.6
2014-06-16,592.65,608.72,587.07,592.19,28677500.0,7642482234.0
2014-06-17,591.59,610.89,590.4,610.86,18597300.0,7886300054.8
2014-06-18,609.77,615.88,604.4,607.96,17862000.0,7851200009.9
2014-06-19,608.07,612.24,597.02,598.07,12803800.0,7726000792.2
2014-06-20,597.4,599.75,587.76,594.15,18134100.0,7678074489.75
2014-06-21,593.68,599.46,587.74,594.99,9256290.0,7691773954.8
2014-06-22,595.9,606.0,594.63,602.27,10877700.0,7788609492.83
2014-06-23,602.16,603.21,586.34,593.98,14053800.0,7684029467.2
2014-06-24,593.97,596.97,582.36,582.36,14144900.0,7536340172.7
2014-06-25,581.81,583.6,565.62,566.34,20687700.0,7331658430.4
2014-06-26,566.14,581.63,564.73,581.14,14655900.0,7525767735.27
2014-06-27,581.3,600.12,579.89,597.26,20814600.0,7737366939.75
2014-06-28,599.08,604.47,595.92,596.55,13398100.0,7730991679.22
2014-06-29,596.33,604.08,596.16,602.72,8897470.0,7813280834.62
2014-06-30,602.62,645.16,599.88,639.8,46422400.0,8296103744.68
2014-07-01,641.39,657.86,640.11,640.81,38446300.0,8311317900.6
2014-07-02,641.04,656.68,638.34,650.88,25768200.0,8444194978.48
2014-07-03,650.77,650.77,641.3,645.16,18949000.0,8372189412.0
2014-07-04,644.65,648.43,629.4,630.69,22237200.0,8187107455.8
2014-07-05,629.95,633.22,628.0,631.46,9105940.0,8199437572.15
2014-07-06,631.77,638.65,631.16,635.81,10080000.0,8258179219.5
2014-07-07,635.46,637.16,617.01,624.09,17813600.0,8108140914.15
2014-07-08,622.57,626.7,620.91,624.82,10005500.0,8120056625.75
2014-07-09,625.22,627.0,622.6,624.51,9819150.0,8118679450.9
2014-07-10,624.83,626.12,612.35,616.76,15880700.0,8020234276.55
2014-07-11,616.66,632.09,615.77,632.0,16467100.0,8220889623.03
2014-07-12,631.88,636.66,626.98,633.71,13329000.0,8245635913.62
2014-07-13,634.22,634.73,624.91,626.5,11291000.0,8154265678.05
2014-07-14,626.56,627.34,617.32,619.32,12706800.0,8062877467.88
2014-07-15,620.0,625.14,619.64,621.59,10873200.0,8094883398.7
2014-07-16,622.01,623.09,615.33,616.8,13182400.0,8034806880.0
2014-07-17,616.54,626.29,608.4,623.09,16576700.0,8119394872.88
2014-07-18,622.37,629.21,620.47,628.78,14158100.0,8196212862.38
2014-07-19,629.17,629.17,624.6,628.52,7222030.0,8195599906.88
2014-07-20,628.56,628.56,622.78,623.9,5760120.0,8137808455.0
2014-07-21,623.95,624.09,619.11,622.21,10711900.0,8118204690.85
2014-07-22,622.27,624.3,620.96,621.55,9602880.0,8111799945.9
2014-07-23,621.12,624.43,618.29,619.41,11056600.0,8086153117.5
2014-07-24,619.5,620.43,595.57,601.73,20917200.0,7857489687.3
2014-07-25,601.51,607.07,597.23,601.09,12279500.0,7851574790.25
2014-07-26,601.54,602.09,593.96,595.81,10752900.0,7784669228.12
2014-07-27,595.67,598.94,593.43,593.85,7774230.0,7761289328.8
2014-07-28,594.14,594.57,575.18,585.69,19316400.0,7656826296.65
2014-07-29,585.55,588.39,581.7,584.72,11275400.0,7646390352.5
